Jugador,Edad,Equipo,Pierna hábil,Altura,ELO,Max. ELO,REAP,+/- ELO (1 año),Potencial,Fin Contrato,Valor de mercado,Position principal,Partidos jugados,Estad. avanzada (min),Asistencias,Goles para empatar,Regates en zona peligrosa,% Regates en zona peligrosa con éxito,Regates en zona peligrosa con éxito,% Regates con éxito,Regates,Regates con éxito,Primeros goles,Goles de falta,Goles después de córner,Goles después de falta,Goles tras centro,Goles desde fuera del área,Goles,% Efectividad,Goles de cabeza,Goles con la izquierda,Goles de penalti,Penaltis lanzados,Penaltis provocados,Pre-asistencias,Goles con la derecha,Progresiones con balón,% Progresiones con balón con éxito,Progresiones con balón con éxito,Pases que acaban en tiro,Pases previos a tiro (C-At),Tiros dentro del área,Tiros tras centro,Tiros fuera del área,Pases que acaban en TP,Goles (s.p.) por Disparo,Tiros,Tiros bloq. (ATA),Tiros a puerta,Tiros por tiro a puerta,Tiros por gol,Tiros tras regate con éxito,Toques en el área,xA / Pases clave,xA,xG por disparo,xG en contra (tiros a puerta),xG,Tiros bloq. (DEF),Despejes,Recuperaciones en últ. tercio,1x1 Defensivos,% 1x1 Defensivos con éxito,1x1 Defensivos con éxito,Recuperaciones en campo rival,Penaltis cometidos,Presiones defensivas (ind.),Intercepciones,Recuperaciones,Rec. rápidas tras pérdida,Entradas,Duelo defensivo por falta,% Duelos aéreos ganados,Duelos aéreos,Duelos aéreos ganados,Duelos defensivos,% Duelos defensivos ganados,Duelos defensivos ganados,Duelos,% Duelos ganados,Duelos ganados,Duelos en el suelo,% Duelos en el suelo con éxito,Duelos en el suelo con éxito,Duelos ofensivos,% Duelos ofensivos ganados,Duelos ofensivos ganados,Pases hacia atrás,Centros,% Centros con éxito,Centros con éxito,Centros al área,% Centros al área con éxito,Centros al área con éxito,Pases clave,% Pases largos con éxito,% Pases con éxito,Pases intentados,Pases previos a pérdida,Pases con éxito,Pases al último tercio,% Pases al último tercio con éxito,Pases al último tercio con éxito,Pases al área,% Pases al área con éxito,Pases al área con éxito,Pases progresivos,% Pases progresivos con éxito,Pases progresivos con éxito,Pases verticales,Pases profundos,Aceleraciones,Tarjetas provocadas,Tarjetas,% Porterías a cero,Diferencial NPxG,Diferencial xG,Expulsiones,Faltas,NPxG,NPxG por disparo,Fueras de juego,Goles en propia puerta,Pérdidas en campo propio,Pérdidas de balón,Faltas recibidas,Tarjetas rojas,Goles para ganar,Tarjetas amarillas,Goles de falta concedidos,Goles encajados,Goles de cabeza concedidos,Salidas por alto,Goles lejanos concedidos,Pases largos,Pases largos con éxito,Penaltis parados,Goles de penalti concedidos,Rechaces tras penalti,Paradas por gol encajado,Paradas,% Paradas por tiros a puerta recibidos,Tiros a puerta recibidos,Superparadas,Goles evitados,Asistencias_percentil,Goles para empatar_percentil,Regates en zona peligrosa_percentil,% Regates en zona peligrosa con éxito_percentil,Regates en zona peligrosa con éxito_percentil,% Regates con éxito_percentil,Regates_percentil,Regates con éxito_percentil,Primeros goles_percentil,Goles de falta_percentil,Goles después de córner_percentil,Goles después de falta_percentil,Goles tras centro_percentil,Goles desde fuera del área_percentil,Goles_percentil,% Efectividad_percentil,Goles de cabeza_percentil,Goles con la izquierda_percentil,Goles de penalti_percentil,Penaltis lanzados_percentil,Penaltis provocados_percentil,Pre-asistencias_percentil,Goles con la derecha_percentil,Progresiones con balón_percentil,% Progresiones con balón con éxito_percentil,Progresiones con balón con éxito_percentil,Pases que acaban en tiro_percentil,Pases previos a tiro (C-At)_percentil,Tiros dentro del área_percentil,Tiros tras centro_percentil,Tiros fuera del área_percentil,Pases que acaban en TP_percentil,Goles (s.p.) por Disparo_percentil,Tiros_percentil,Tiros bloq. (ATA)_percentil,Tiros a puerta_percentil,Tiros por tiro a puerta_percentil,Tiros por gol_percentil,Tiros tras regate con éxito_percentil,Toques en el área_percentil,xA / Pases clave_percentil,xA_percentil,xG por disparo_percentil,xG en contra (tiros a puerta)_percentil,xG_percentil,Tiros bloq. (DEF)_percentil,Despejes_percentil,Recuperaciones en últ. tercio_percentil,1x1 Defensivos_percentil,% 1x1 Defensivos con éxito_percentil,1x1 Defensivos con éxito_percentil,Recuperaciones en campo rival_percentil,Penaltis cometidos_percentil,Presiones defensivas (ind.)_percentil,Intercepciones_percentil,Recuperaciones_percentil,Rec. rápidas tras pérdida_percentil,Entradas_percentil,Duelo defensivo por falta_percentil,% Duelos aéreos ganados_percentil,Duelos aéreos_percentil,Duelos aéreos ganados_percentil,Duelos defensivos_percentil,% Duelos defensivos ganados_percentil,Duelos defensivos ganados_percentil,Duelos_percentil,% Duelos ganados_percentil,Duelos ganados_percentil,Duelos en el suelo_percentil,% Duelos en el suelo con éxito_percentil,Duelos en el suelo con éxito_percentil,Duelos ofensivos_percentil,% Duelos ofensivos ganados_percentil,Duelos ofensivos ganados_percentil,Pases hacia atrás_percentil,Centros_percentil,% Centros con éxito_percentil,Centros con éxito_percentil,Centros al área_percentil,% Centros al área con éxito_percentil,Centros al área con éxito_percentil,Pases clave_percentil,% Pases largos con éxito_percentil,% Pases con éxito_percentil,Pases intentados_percentil,Pases previos a pérdida_percentil,Pases con éxito_percentil,Pases al último tercio_percentil,% Pases al último tercio con éxito_percentil,Pases al último tercio con éxito_percentil,Pases al área_percentil,% Pases al área con éxito_percentil,Pases al área con éxito_percentil,Pases progresivos_percentil,% Pases progresivos con éxito_percentil,Pases progresivos con éxito_percentil,Pases verticales_percentil,Pases profundos_percentil,Aceleraciones_percentil,Tarjetas provocadas_percentil,Tarjetas_percentil,% Porterías a cero_percentil,Diferencial NPxG_percentil,Diferencial xG_percentil,Expulsiones_percentil,Faltas_percentil,NPxG_percentil,NPxG por disparo_percentil,Fueras de juego_percentil,Goles en propia puerta_percentil,Pérdidas en campo propio_percentil,Pérdidas de balón_percentil,Faltas recibidas_percentil,Tarjetas rojas_percentil,Goles para ganar_percentil,Tarjetas amarillas_percentil,Goles de falta concedidos_percentil,Goles encajados_percentil,Goles de cabeza concedidos_percentil,Salidas por alto_percentil,Goles lejanos concedidos_percentil,Pases largos_percentil,Pases largos con éxito_percentil,Penaltis parados_percentil,Goles de penalti concedidos_percentil,Rechaces tras penalti_percentil,Paradas por gol encajado_percentil,Paradas_percentil,% Paradas por tiros a puerta recibidos_percentil,Tiros a puerta recibidos_percentil,Superparadas_percentil,Goles evitados_percentil
Lassine Keita,19,Deportivo Aragón,-,-,38,39,1.18,4,54,2024-06-30 00:00:00,0.001,CB,13,870,0.0,0.0,0.0,0.0,0.0,66.67,0.31,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,15.0,0.62,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.21,0.0,0.0,0.06,0.0,0.06,0.41,3.83,0.1,1.03,30.0,0.31,1.45,0.1,0.1,5.48,12.62,5.69,0.31,0.44,50.91,5.69,2.9,9.62,73.12,7.03,19.45,61.7,12.0,10.66,69.9,7.45,1.03,40.0,0.41,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,80.69,30.0,3.21,24.21,4.34,57.14,2.48,0.31,0.0,0.0,6.21,68.33,4.24,12.0,0.0,0.1,0.0,0.72,10.34,-0.06,-0.06,0.0,2.28,0.06,0.06,0.0,0.0,4.34,7.66,0.41,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,5.28,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,40,44,44,61,43,49,43,50,41,44,51,47,33,33,39,49,51,50,49,43,45,44,37,46,50,49,24,35,18,75,33,15,7,48,41,33,41,15,29,23,100,51,79,59,79,44,55,1,10,36,88,24,76,63,46,63,57,35,65,46,99,60,100,82,57,85,90,76,94,25,29,21,71,14,21,21,18,23,23,29,26,65,34,88,47,29,63,37,19,7,7,24,57,33,56,15,52,23,100,81,11,10,43,94,79,100,24,49,59,15,34,49,47,100,51,51,51,51,51,22,18,51,51,51,51,51,51,51,51,51
D. Niwa,38,Arenas de Getxo,Derecha,180,52,69,1.16,6,69,2024-06-30 00:00:00,0.016,CB,21,2000,0.0,0.0,0.09,0.0,0.0,44.44,0.41,0.18,0.0,0.0,0.05,0.05,0.0,0.0,0.09,66.67,0.05,0.0,0.0,0.0,0.0,0.0,0.05,2.03,20.0,0.41,0.0,0.0,0.41,0.0,0.05,0.0,0.2,0.45,0.27,0.14,0.15,0.23,0.0,0.5,0.0,0.0,0.01,0.0,0.1,0.5,4.1,0.09,0.68,80.0,0.54,2.03,0.05,0.14,4.05,15.93,9.05,0.05,0.33,60.13,7.11,4.28,4.59,73.53,3.38,16.47,62.02,10.22,6.17,68.61,4.23,1.58,54.29,0.86,1.26,0.23,60.0,0.14,0.18,50.0,0.09,0.0,63.08,76.65,23.13,3.15,17.73,4.59,66.67,3.06,0.45,30.0,0.14,7.07,66.24,4.68,7.7,0.0,0.0,0.05,0.09,4.5,-0.01,-0.01,0.0,0.63,0.1,0.01,0.0,0.0,4.23,7.74,1.13,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.85,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,92,44,44,26,53,41,43,50,88,92,51,47,90,93,81,49,51,50,49,43,94,11,65,23,16,49,84,35,43,26,84,78,70,67,70,76,41,60,29,23,63,51,97,74,88,37,16,93,43,72,75,36,29,99,94,7,35,62,91,90,12,68,16,50,59,56,21,65,18,54,68,60,9,71,84,75,69,72,68,29,96,47,13,85,19,37,90,53,25,62,42,40,51,46,24,15,18,54,5,21,57,57,43,24,97,64,24,49,53,21,88,49,47,5,51,51,51,51,51,32,62,51,51,51,51,51,51,51,51,51
Juan,25,Náxara,-,-,48,48,1.1,3,55,2024-06-30 00:00:00,0.027,CB,24,2186,0.0,0.0,0.0,0.0,0.0,36.36,0.45,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,5.13,0.16,0.12,0.0,0.29,0.04,0.08,0.04,0.0,0.41,0.12,0.12,0.14,0.0,0.0,0.45,0.07,0.01,0.0,0.0,0.05,0.37,3.91,0.08,1.24,43.33,0.54,0.86,0.04,0.25,4.94,11.57,5.97,0.41,0.29,51.47,5.6,2.88,6.38,66.45,4.24,16.51,56.61,9.35,7.58,60.87,4.61,1.19,31.03,0.37,2.26,0.12,33.33,0.04,0.12,33.33,0.04,0.08,55.02,75.53,31.13,2.35,23.51,4.45,51.85,2.31,0.7,29.41,0.21,7.86,62.83,4.94,12.68,0.08,0.0,0.0,0.21,4.12,-0.05,-0.05,0.04,0.91,0.05,0.0,0.04,0.04,4.57,9.88,0.29,0.04,0.0,0.16,0.0,0.0,0.0,0.0,0.0,9.43,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,40,44,44,19,57,36,43,50,41,44,51,47,33,33,39,49,51,50,49,43,45,30,6,3,60,49,67,71,57,54,33,68,30,55,65,33,41,52,68,58,20,51,69,51,82,32,68,18,43,11,70,63,62,43,50,76,22,38,60,44,43,28,40,51,25,39,38,22,27,34,9,15,39,52,60,41,60,61,46,65,75,40,42,50,41,32,44,31,54,60,56,50,38,49,57,44,18,23,42,5,18,17,88,47,70,21,50,99,71,73,24,97,47,29,51,51,51,51,51,81,81,51,51,51,51,51,51,51,51,51
A. Pérez,21,Deportivo Alavés B,Izquierda,-,48,48,1.32,6,62,2024-06-30 00:00:00,0.109,CB,21,1927,0.09,0.0,0.0,0.0,0.0,100.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07,6.15,0.37,0.09,0.0,0.23,0.0,0.05,0.05,0.0,0.28,0.33,0.14,0.09,0.0,0.0,0.42,0.19,0.03,0.0,0.0,0.02,0.75,2.66,0.37,0.7,60.0,0.42,1.96,0.0,0.14,4.48,14.24,6.77,0.28,0.21,75.56,6.31,4.76,4.02,73.26,2.94,13.78,69.15,9.53,4.86,69.23,3.36,0.89,47.37,0.42,3.6,0.09,50.0,0.05,0.05,100.0,0.05,0.14,64.18,86.93,51.8,2.43,45.02,7.19,61.69,4.44,0.79,23.53,0.19,9.99,80.37,8.03,24.52,0.14,0.05,0.0,0.28,4.67,-0.02,-0.02,0.05,0.89,0.02,0.0,0.14,0.0,3.27,7.89,0.23,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,9.39,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,46,40,44,44,95,29,51,43,50,41,44,51,47,33,33,39,49,51,50,49,43,45,75,10,15,43,49,49,35,43,59,33,41,83,67,36,33,41,47,82,90,20,51,32,94,31,94,18,60,29,68,34,36,49,85,76,57,9,99,79,98,5,62,4,22,100,43,6,71,4,19,53,23,88,43,76,47,40,93,53,87,99,93,88,54,91,79,81,85,64,51,51,81,100,93,93,68,39,23,60,25,44,44,92,46,34,21,93,49,15,32,15,49,47,51,51,51,51,51,51,79,88,51,51,51,51,51,51,51,51,51
Franki,25,Barbastro,Izquierda,184,54,56,1.21,5,61,2024-06-30 00:00:00,0.061,CB,19,1568,0.0,0.0,0.06,0.0,0.0,78.57,0.8,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.06,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.06,2.35,24.39,0.57,0.17,0.0,0.29,0.06,0.11,0.0,0.14,0.4,0.17,0.17,0.13,0.4,0.06,0.46,0.0,0.01,0.01,0.0,0.07,0.34,2.53,0.34,1.89,57.58,1.09,2.18,0.06,0.46,5.17,12.23,5.63,0.57,0.37,49.3,4.08,2.01,7.35,69.53,5.11,17.28,58.14,10.04,10.33,67.78,7.0,2.98,63.46,1.89,3.16,0.52,44.44,0.23,0.34,66.67,0.23,0.0,44.76,70.67,24.85,1.32,17.56,4.19,49.32,2.07,0.86,40.0,0.34,6.14,59.81,3.67,6.49,0.11,0.06,0.11,0.52,5.74,-0.01,-0.01,0.06,1.15,0.07,0.01,0.11,0.0,3.96,10.27,1.26,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,6.03,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,85,44,44,78,74,85,43,50,41,44,51,47,78,72,39,49,51,50,49,43,99,15,81,39,68,49,67,81,71,26,76,65,43,76,61,87,90,55,29,58,63,51,85,44,26,91,96,51,97,78,79,82,69,59,43,90,47,22,23,20,76,46,76,56,34,54,85,53,87,87,82,96,76,85,69,85,85,82,91,29,25,21,24,12,16,25,32,25,68,79,82,20,31,24,9,60,43,73,91,49,57,57,94,66,85,64,84,49,47,76,93,49,47,90,51,51,51,51,51,37,29,51,51,51,51,51,51,51,51,51
X. Zaldua,22,CD Calahorra,Derecha,182,45,45,1.12,2,55,2024-06-30 00:00:00,0.028,CB,11,621,0.0,0.0,0.0,0.0,0.0,100.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,18.92,1.01,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.58,0.14,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.01,0.0,0.04,0.58,4.2,0.0,1.74,41.67,0.72,1.45,0.0,0.0,6.52,15.36,9.13,0.29,1.28,55.56,7.83,4.35,6.38,70.45,4.49,19.13,67.42,12.9,7.54,71.15,5.36,1.16,75.0,0.87,1.88,0.14,0.0,0.0,0.14,0.0,0.0,0.0,52.33,70.8,39.71,2.32,28.12,10.72,58.11,6.23,1.01,14.29,0.14,14.06,69.07,9.71,11.74,0.0,0.29,0.29,0.14,14.49,-0.04,-0.04,0.0,0.72,0.04,0.01,0.29,0.0,5.22,12.32,1.16,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,12.46,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,40,44,44,95,66,81,43,50,41,44,51,47,33,33,39,49,51,50,49,43,45,68,60,69,16,49,94,35,18,26,33,87,38,14,14,33,41,85,29,23,63,51,57,85,90,8,94,15,71,36,34,7,96,93,96,60,90,50,99,93,43,49,50,78,96,97,35,79,53,32,100,63,24,57,21,21,63,23,23,29,62,22,68,46,56,99,71,96,79,22,42,99,59,97,53,15,87,97,22,97,26,26,43,31,59,64,99,49,90,88,90,49,47,24,51,51,51,51,51,96,91,51,51,51,51,51,51,51,51,51
Hugo Terés,21,CD Valle de Egüés,Derecha,180,49,50,1.35,3,63,2024-06-30 00:00:00,0.055,CB,26,2334,0.0,0.0,0.0,0.0,0.0,50.0,0.39,0.19,0.0,0.0,0.0,0.0,0.0,0.04,0.04,33.33,0.0,0.0,0.0,0.0,0.04,0.0,0.04,2.12,27.27,0.58,0.04,0.0,0.19,0.0,0.12,0.04,0.13,0.31,0.23,0.12,0.1,0.31,0.0,0.31,0.13,0.01,0.0,0.0,0.02,0.42,2.81,0.12,1.58,48.78,0.77,1.85,0.0,0.42,4.7,11.49,5.86,0.15,0.21,53.24,5.36,2.85,7.17,61.83,4.43,17.78,55.1,9.79,9.06,56.6,5.13,1.89,36.73,0.69,1.54,0.08,0.0,0.0,0.04,0.0,0.0,0.04,42.42,69.62,22.21,1.2,15.46,3.01,42.31,1.27,0.54,7.14,0.04,5.01,46.92,2.35,6.32,0.08,0.12,0.04,0.15,3.86,0.02,0.02,0.0,1.31,0.02,0.0,0.04,0.0,4.67,9.33,0.58,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,5.09,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,40,44,44,34,51,44,43,50,41,44,51,94,67,72,39,49,51,50,97,43,90,13,86,41,32,49,43,35,74,54,75,51,57,55,41,82,41,35,76,58,20,51,32,61,35,53,91,22,79,63,34,79,54,41,49,29,9,43,56,42,71,13,44,65,15,49,63,15,46,65,21,44,13,37,21,21,35,23,23,59,15,19,9,10,9,6,6,6,35,15,15,6,9,4,7,44,57,47,25,3,79,79,43,74,34,21,50,49,76,59,55,49,47,26,51,51,51,51,51,15,12,51,51,51,51,51,51,51,51,51
Santamaría,36,Tudelano,Izquierda,189,54,62,1.13,2,64,2024-06-30 00:00:00,0.035,CB,20,1882,0.0,0.05,0.0,0.0,0.0,33.33,0.14,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.05,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,6.36,12.78,0.81,0.1,0.0,0.38,0.1,0.05,0.1,0.11,0.43,0.19,0.1,0.22,0.43,0.0,0.72,0.36,0.02,0.01,0.0,0.08,0.33,3.97,0.05,0.81,88.24,0.72,1.15,0.0,0.19,5.79,13.34,6.17,0.1,0.4,49.46,4.45,2.2,5.21,77.98,4.06,13.77,61.11,8.42,6.41,71.64,4.59,1.2,44.0,0.53,1.63,0.1,100.0,0.1,0.05,100.0,0.05,0.05,56.0,76.89,39.93,2.58,30.7,8.56,51.96,4.45,1.24,15.38,0.19,12.53,75.57,9.47,13.34,0.14,0.14,0.0,0.1,4.78,-0.03,-0.03,0.0,0.62,0.08,0.01,0.05,0.0,3.83,9.8,0.67,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,11.96,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,94,40,44,44,15,18,15,88,50,41,92,51,47,72,85,39,49,51,50,49,43,94,76,25,58,50,49,79,91,43,75,73,74,49,48,79,92,41,85,94,79,63,51,90,39,85,23,28,99,71,21,34,49,85,74,65,18,54,24,31,24,22,93,32,21,50,21,25,82,25,36,46,34,15,49,94,65,40,93,53,63,76,50,69,63,66,90,47,87,85,24,51,96,96,96,59,68,65,23,8,29,35,35,43,22,90,64,57,49,39,69,66,49,47,8,51,51,51,51,51,93,94,51,51,51,51,51,51,51,51,51
Terés,24,CD Valle de Egüés,Derecha,184,46,46,1.07,1,52,2024-06-30 00:00:00,0.029,CB,21,1402,0.0,0.0,0.13,100.0,0.13,56.0,1.6,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,42.22,1.22,0.26,0.06,0.06,0.0,0.13,0.13,0.0,0.19,0.32,0.19,0.06,0.0,0.13,0.64,0.07,0.01,0.01,0.0,0.02,0.39,2.89,0.32,2.05,37.5,0.77,3.47,0.13,0.77,5.91,11.62,7.19,0.39,0.38,48.0,8.02,3.85,9.5,63.51,6.03,25.74,53.62,13.8,13.48,59.05,7.96,3.98,48.39,1.93,2.05,0.13,50.0,0.06,0.0,0.0,0.0,0.13,37.25,67.05,22.6,1.35,15.15,3.53,50.91,1.8,0.58,55.56,0.32,4.69,43.84,2.05,5.26,0.19,0.32,0.32,0.45,6.42,-0.02,-0.02,0.0,1.6,0.02,0.01,0.06,0.0,5.33,12.45,1.54,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,3.27,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,99,96,100,41,99,94,43,50,41,44,51,47,33,33,39,49,51,50,49,43,45,25,100,85,88,100,15,35,78,85,33,29,81,82,29,33,97,75,68,58,63,51,32,54,37,87,97,8,79,96,95,94,90,46,82,71,49,16,100,85,97,19,94,100,10,100,99,18,99,97,57,97,32,55,76,55,18,23,23,84,4,7,10,15,7,21,40,21,43,97,77,3,3,1,6,78,91,99,85,55,44,44,43,90,34,64,62,49,93,91,98,49,47,88,51,51,51,51,51,1,1,51,51,51,51,51,51,51,51,51
A. Barandiaran,20,CD Calahorra,Derecha,181,45,50,1.18,-1,61,2024-06-30 00:00:00,0.049,CB,15,1351,0.0,0.0,0.0,0.0,0.0,80.0,0.33,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,13.79,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.73,0.13,0.87,53.85,0.47,1.67,0.0,0.27,3.6,11.72,5.6,0.07,1.65,45.61,3.8,1.73,8.26,76.61,6.33,15.39,64.94,9.99,9.46,75.35,7.13,1.2,66.67,0.8,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.38,77.92,31.38,2.4,24.45,4.2,47.62,2.0,0.47,0.0,0.0,7.26,63.3,4.6,9.99,0.0,0.07,0.0,0.13,6.66,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,4.26,7.73,0.4,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,7.26,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,46,40,44,44,80,47,58,43,50,41,44,51,47,33,33,39,49,51,50,49,43,45,40,32,34,16,49,6,35,18,26,33,4,51,14,14,33,41,2,29,23,20,51,6,39,69,58,41,38,36,50,34,66,15,49,40,12,96,10,18,10,88,88,97,34,79,53,71,97,91,36,93,56,42,14,21,21,18,23,23,29,56,53,44,53,51,26,24,24,27,7,7,44,41,43,40,15,46,23,18,60,71,71,43,4,6,21,24,49,57,19,32,49,47,19,51,51,51,51,51,62,63,51,51,51,51,51,51,51,51,51
